RGIId,name,name_RGI60,area,lon,lat,mb_gta,mb_mwea,mb_mwea_sigma,term_type,date_start,length_yr,date0_raw,date1_raw,date0,date1
RGI60-01.08626,Bear Lake,Bear Lake Glacier,6,-149.25,60.17,-0.01,-0.89,-0.130533333,Land,5/28/94,13,5/28/94,5/28/07,1994-05-28,2007-05-28
RGI60-01.01835,Bench,Bench Glacier,8,-145.68,61.02,-0.01,-0.86,-0.126133333,Land,8/24/00,13,8/24/00,8/24/13,2000-08-24,2013-08-24
RGI60-01.17915,Chernof,Chernof Glacier,56,-150.43,59.86,-0.04,-0.76,-0.111466667,Land,5/19/96,11,5/19/96,5/19/07,1996-05-19,2007-05-19
RGI60-01.17566,Logan,Logan Glacier,1177,-140.7,60.73,-0.87,-0.74,-0.108533333,Land,8/19/03,10,8/19/03,8/19/13,2003-08-19,2013-08-19
RGI60-01.10955,Tsina,Tsina Glacier,24,-145.92,61.26,-0.02,-0.73,-0.107066667,Land,9/5/04,9,9/5/04,9/5/13,2004-09-05,2013-09-05
RGI60-01.17899,Kachemak,Kachemak Glacier,21,-150.55,59.7,-0.01,-0.71,-0.104133333,Land,5/18/96,11,5/18/96,5/18/07,1996-05-18,2007-05-18
RGI60-01.17880,Dinglestadt,Dinglestadt Glcier,75,-150.41,59.73,-0.05,-0.64,-0.093866667,Land,5/18/96,11,5/18/96,5/18/07,1996-05-18,2007-05-18
RGI60-01.18087,Exit,Exit Glacier,37,-149.74,60.16,-0.02,-0.59,-0.086533333,Land,5/28/94,13,5/28/94,5/28/07,1994-05-28,2007-05-28
RGI60-01.11025,Worthington,Worthington Glacier,7,-145.78,61.17,0,-0.56,-0.082133333,Land,8/24/00,13,8/24/00,8/24/13,2000-08-24,2013-08-24
RGI60-01.10683,Nelchina,Nelchina Glacier,238,-146.93,61.56,-0.13,-0.53,-0.077733333,Land,9/5/04,9,9/5/04,9/5/13,2004-09-05,2013-09-05
RGI60-01.26738,Walsh,Walsh Glacier,718,-140.42,60.92,-0.37,-0.51,-0.0748,Land,8/19/03,10,8/19/03,8/19/13,2003-08-19,2013-08-19
RGI60-01.16201,Kaskawulsh,Kaskawulsh Glacier,1054,-139.11,60.67,-0.37,-0.35,-0.051333333,Land,5/21/95,18,5/21/95,5/21/13,1995-05-21,2013-05-21
RGI60-01.10333,Marcus Baker,Marcus Baker Glacier,162,-147.91,61.47,-0.05,-0.33,-0.0484,Land,9/6/04,8,9/6/04,9/6/12,2004-09-06,2012-09-06
RGI60-01.10557,Matanuska,Matanuska Glacier,308,-147.57,61.57,-0.1,-0.31,-0.045466667,Land,9/6/04,8,9/6/04,9/6/12,2004-09-06,2012-09-06
RGI60-01.16342,Donjek,Donjek Glacier,448,-139.82,60.98,-0.13,-0.29,-0.042533333,Land,5/30/00,12,5/30/00,5/30/12,2000-05-30,2012-05-30
RGI60-01.09162,Wolverine,Wolverine Glacier,17,-148.91,60.41,0,-0.28,-0.041066667,Land,5/27/94,7,5/27/94,5/27/01,1994-05-27,2001-05-27
RGI60-01.16377,Steele,Steele Glacier,255,-140.24,61.16,-0.05,-0.18,-0.0264,Land,5/30/00,12,5/30/00,5/30/12,2000-05-30,2012-05-30
RGI60-01.10907,Valdez,Valdez Glacier,138,-146.21,61.3,-0.21,-1.51,-0.221466667,Lake,8/25/00,13,8/25/00,8/25/13,2000-08-25,2013-08-25
RGI60-01.01854,Sheridan,Sheridan Glacier,92,-145.17,60.61,-0.14,-1.5,-0.22,Lake,8/26/01,12,8/26/01,8/26/13,2001-08-26,2013-08-26
RGI60-01.13531,Miles,Miles Glacier,421,-144.15,60.63,-0.62,-1.48,-0.217066667,Lake,9/1/04,9,9/1/04,9/1/13,2004-09-01,2013-09-01
RGI60-01.17803,Bear,Bear Glacier,198,-149.77,60.05,-0.26,-1.33,-0.195066667,Lake,5/28/94,13,5/28/94,5/28/07,1994-05-28,2007-05-28
